TRACT,ZIP
13135050724,30017
13135050725,30039
13135050726,30052
13135050727,30017
13135050728,30039
13135050729,30039
13135050730,30052
13135050731,30052
13137000100,30523
13137000201,30535
13137000202,30523
13137000300,30523
13137000400,30563
13137000500,30535
13137000601,30510
13137000602,30531
13139000101,30554
13139000102,30543
13139000201,30506
13139000203,30527
13139000204,30506
13139000302,30506
13139000303,30506
13139000304,30506
13139000305,30506
13139000400,30504
13139000500,30506
13139000600,30501
13139000701,30507
13139000702,30507
13139000800,30501
13139000900,30501
13139001002,30504
13139001003,30504
13139001004,30504
13139001101,30501
13139001102,30504
13139001201,30507
13139001202,30507
13139001301,30507
13139001302,30507
13139001402,30566
13139001403,30566
13139001404,30542
13139001501,30542
13139001502,30518
13139001603,30542
13139001604,30542
13139001605,30519
13139001606,30542
13139001607,30518
13139001608,30548
13141480300,31087
13141480400,31087
13143010100,30113
13143010200,30176
13143010301,30110
13143010302,30110
13143010400,30110
13145120198,31822
13145120200,31826
13145120300,31808
13145120401,31804
13145120402,31831
13147960100,30643
13147960200,30553
13147960300,30662
13147960400,30643
13147960500,30643
13149970100,30217
13149970200,30217
13149970300,30217
13151070104,30281
13151070106,30281
13151070107,30294
13151070108,30294
13151070109,30281
13151070110,30281
13151070111,30281
13151070113,30281
13151070114,30281
13151070202,30252
13151070203,30252
13151070204,30281
13151070205,30253
13151070304,30253
13151070305,30228
13151070306,30253
13151070307,30253
13151070309,30253
13151070310,30253
13151070311,30253
13151070402,30252
13151070403,30248
13151070404,30248
13151070501,30228
13151070502,30228
13153020105,31093
13153020106,31093
13153020108,31028
13153020109,31008
13153020200,31093
13153020300,31093
13153020400,31093
13153020600,31098
13153020700,31088
13153020800,31088
13153020900,31088
13153021000,31088
13153021103,31005
13153021104,31088
13153021105,31088
13153021107,31005
13153021108,31005
13153021113,31088
13153021201,31047
13153021202,31069
13153021300,31069
13153021400,31069
13153021500,31036
13155950100,31774
13155950200,31774
13157010101,30548
13157010102,30548
13157010103,30517
13157010200,30558
13157010300,30529
13157010400,30529
13157010500,30565
13157010600,30549
13157010701,30549
13157010702,30549
13157010703,30549
13159010100,30056
13159010200,30055
13159010500,31064
13161960100,31539
13161960200,31539
13161960300,31532
13163960100,30833
13163960200,30823
13163960300,30434
13163960400,30477
13165960100,30442
13165960200,30442
13167960100,31049
13167960200,31096
13167960300,31096
13169030101,31211
13169030103,31032
13169030104,31211
13169030200,31032
13169030301,31032
13169030302,31032
13171970100,30257
13171970200,30204
13171970300,30204
13173950100,31635
13173950200,31635
13175950100,31027
13175950201,31021
13175950202,31021
13175950300,31021
13175950400,31021
13175950500,31021
13175950600,31022
13175950700,31019
13175950800,31021
13175950900,31021
13175951000,31027
13175951100,31075
13175951400,31009
13177020100,31763
13177020200,31787
13177020300,31763
13177020402,31763
13177020403,31763
13179010101,31315
13179010102,31315
13179010103,31315
13179010202,31313
