ZIPCODE,RACE: Total: Total population -- (Estimate),POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Total: Population for whom poverty status is determined -- (Estimate),RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Total: Households -- (Estimate),PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE: Total: Civilian noninstitutionalized population for whom poverty status is determined -- (Estimate),RACE: Non White alone: Total population -- (Estimate),RACE: Total: Total population -- (Estimate)_PERCENTILE,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Total: Population for whom poverty status is determined -- (Estimate)_PERCENTILE,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Total: Households -- (Estimate)_PERCENTILE,PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE: Total: Civilian noninstitutionalized population for whom poverty status is determined -- (Estimate)_PERCENTILE,RACE: Non White alone: Total population -- (Estimate)_PERCENTILE
30275,7428.0,7366.0,2654.0,7366.0,1072.0,2.997275204359673,3.4059945504087192,3.1335149863760217,3.4059945504087192,1.6348773841961852
30276,41587.0,41517.0,14646.0,41468.0,6822.0,17.166212534059945,18.392370572207085,16.893732970027248,18.392370572207085,12.534059945504087
30277,43460.0,43344.0,15397.0,43312.0,5776.0,18.392370572207085,19.891008174386922,18.52861035422343,19.891008174386922,10.762942779291553
30281,114219.0,113732.0,38458.0,113604.0,67866.0,57.49318801089918,59.12806539509537,55.5858310626703,59.264305177111716,79.97275204359673
30284,5705.0,5705.0,2104.0,5705.0,628.0,1.4986376021798364,2.043596730245232,2.316076294277929,2.043596730245232,0.9536784741144414
30285,201015.0,194391.0,72437.0,194004.0,65375.0,79.42779291553134,79.70027247956403,79.15531335149863,79.70027247956403,78.47411444141689
30286,328652.0,314053.0,116552.0,312028.0,99285.0,95.36784741144415,95.36784741144415,94.55040871934605,95.36784741144415,94.27792915531334
30288,27002.0,26801.0,8642.0,26801.0,22242.0,12.670299727520437,12.806539509536785,10.899182561307901,12.806539509536785,33.514986376021795
30289,7257.0,7257.0,2601.0,7238.0,925.0,2.861035422343324,3.2697547683923704,2.7247956403269753,3.2697547683923704,1.3623978201634876
30290,22920.0,22758.0,7829.0,22714.0,6868.0,10.217983651226158,10.626702997275205,9.945504087193461,10.762942779291553,12.806539509536785
30291,66823.0,65601.0,22965.0,65531.0,55891.0,33.514986376021795,34.19618528610354,32.42506811989101,34.33242506811989,74.25068119891009
30292,181741.0,174550.0,64497.0,173837.0,49133.0,75.88555858310627,75.88555858310627,74.52316076294278,75.74931880108991,68.11989100817439
30293,106594.0,100864.0,37543.0,100723.0,35094.0,54.63215258855586,53.81471389645777,54.35967302452316,53.81471389645777,52.31607629427793
30294,73920.0,73566.0,24115.0,73526.0,61716.0,37.87465940054496,39.237057220708444,34.059945504087196,39.3732970027248,76.15803814713897
30295,232993.0,226237.0,83672.0,225438.0,62181.0,83.7874659400545,84.60490463215258,83.5149863760218,84.60490463215258,76.566757493188
30296,48003.0,47811.0,16049.0,47758.0,43260.0,21.38964577656676,22.3433242506812,20.02724795640327,22.3433242506812,61.171662125340596
30297,46057.0,45535.0,14897.0,45473.0,31828.0,20.708446866485012,21.25340599455041,17.166212534059945,21.25340599455041,49.45504087193461
30303,67337.0,58346.0,26138.0,58259.0,36508.0,34.19618528610354,29.291553133514988,37.19346049046322,29.291553133514988,53.54223433242507
30305,47801.0,47484.0,23064.0,47426.0,7500.0,21.11716621253406,22.20708446866485,32.69754768392371,22.20708446866485,14.032697547683924
30306,158262.0,155618.0,64528.0,155243.0,41792.0,70.16348773841962,71.2534059945504,74.65940054495913,71.2534059945504,58.85558583106267
30307,115315.0,108574.0,44695.0,108214.0,38703.0,58.038147138964575,57.356948228882835,61.30790190735695,57.62942779291553,55.3133514986376
30308,78547.0,70577.0,31357.0,70542.0,29006.0,40.463215258855584,37.46594005449591,44.822888283378745,37.46594005449591,46.73024523160763
30309,163291.0,158989.0,67952.0,158877.0,49521.0,71.52588555858311,72.0708446866485,76.566757493188,72.34332425068119,68.39237057220708
30310,70673.0,67745.0,24865.0,67420.0,61844.0,35.694822888283376,35.967302452316076,35.14986376021798,35.967302452316076,76.29427792915531
30311,58262.0,57882.0,20933.0,57882.0,56524.0,28.337874659400544,28.88283378746594,27.6566757493188,28.88283378746594,74.52316076294278
30312,79210.0,74412.0,33922.0,74280.0,41183.0,40.735694822888284,39.64577656675749,48.91008174386921,39.64577656675749,57.76566757493188
30313,52719.0,38704.0,14939.0,38322.0,25018.0,23.978201634877383,16.757493188010898,17.71117166212534,17.029972752043598,40.32697547683924
30314,60645.0,52814.0,21144.0,52441.0,48877.0,29.564032697547685,26.430517711171664,28.065395095367847,26.158038147138964,67.71117166212534
30315,67615.0,62459.0,24067.0,62350.0,51906.0,34.33242506811989,32.561307901907355,33.92370572207084,32.28882833787466,71.2534059945504
30316,67960.0,66181.0,26640.0,66016.0,40666.0,34.46866485013624,35.013623978201636,38.283378746594,35.013623978201636,56.94822888283379
30317,63395.0,62133.0,25436.0,61916.0,30020.0,30.92643051771117,32.01634877384196,35.694822888283376,31.88010899182561,47.68392370572207
30318,165440.0,150408.0,62598.0,150217.0,74247.0,72.20708446866485,69.61852861035422,73.70572207084469,69.61852861035422,83.37874659400545
30319,76865.0,75593.0,33126.0,75547.0,19456.0,39.782016348773844,40.32697547683924,48.09264305177112,40.32697547683924,29.291553133514988
30322,5952.0,1435.0,851.0,1435.0,3031.0,1.9073569482288828,0.1362397820163488,0.8174386920980926,0.1362397820163488,5.449591280653951
30324,91571.0,89678.0,40289.0,89601.0,28405.0,48.77384196185286,49.45504087193461,57.76566757493188,49.45504087193461,45.36784741144414
30326,22057.0,21931.0,11172.0,21915.0,5059.0,10.08174386920981,10.08174386920981,13.35149863760218,10.08174386920981,9.264305177111716
30327,41662.0,41431.0,16866.0,40902.0,7785.0,17.302452316076295,18.256130790190735,21.25340599455041,17.983651226158038,14.986376021798366
30328,75562.0,73885.0,30550.0,72249.0,30513.0,38.41961852861036,39.3732970027248,42.77929155313352,38.96457765667575,48.36512261580381
30329,56853.0,51891.0,22136.0,51804.0,21609.0,27.384196185286104,25.885558583106267,30.245231607629428,25.885558583106267,32.28882833787466
30331,119629.0,119066.0,42634.0,118495.0,98848.0,59.536784741144416,61.03542234332425,59.536784741144416,61.03542234332425,94.00544959128065
30332,49915.0,40356.0,15853.0,40324.0,16787.0,22.47956403269755,17.029972752043598,19.346049046321525,17.166212534059945,25.340599455040874
30334,2212.0,1769.0,631.0,1769.0,1476.0,0.2724795640326976,0.6811989100817438,0.4087193460490463,0.6811989100817438,2.861035422343324
30336,15552.0,15356.0,5632.0,15356.0,15221.0,6.539509536784741,6.8119891008174385,6.539509536784741,6.8119891008174385,23.569482288828336
30337,60634.0,60223.0,23375.0,59351.0,43533.0,29.427792915531334,30.79019073569482,33.10626702997275,30.108991825613078,61.98910081743869
30338,65690.0,65606.0,27186.0,65544.0,22053.0,32.28882833787466,34.33242506811989,39.64577656675749,34.46866485013624,32.833787465940055
30339,56000.0,55776.0,27001.0,55310.0,24203.0,26.56675749318801,27.384196185286104,38.828337874659404,27.384196185286104,37.87465940054496
30340,56214.0,55803.0,20096.0,55792.0,24701.0,26.70299727520436,27.52043596730245,26.975476839237057,27.52043596730245,39.64577656675749
30341,79887.0,79222.0,31342.0,79168.0,27113.0,40.87193460490463,41.82561307901907,44.6866485013624,41.82561307901907,43.73297002724796
30342,45174.0,44824.0,19287.0,44784.0,9546.0,19.754768392370572,20.980926430517712,24.52316076294278,20.980926430517712,17.166212534059945
30344,91775.0,85673.0,34375.0,84971.0,67009.0,48.91008174386921,46.86648501362398,50.54495912806539,46.321525885558586,79.56403269754769
