ZIPCODE,B02001e1,B02001e2,C16001e1,C16001e3,C16001e5,B17001e1,B17001e2,B22003e1,B22003e2,B24011e1,B24011e19,B992521e1,B992521e2
30288,27002.0,4760.0,24937.0,2738.0,1460.0,26801.0,5015.0,8642.0,1849.0,127163.0,64923.0,6282.0,219.0
30289,7257.0,6332.0,6910.0,468.0,86.0,7257.0,682.0,2601.0,160.0,35980.0,25833.0,2229.0,27.0
30290,22920.0,16052.0,21567.0,1872.0,868.0,22758.0,1530.0,7829.0,364.0,185744.0,0.0,6047.0,107.0
30291,66823.0,10932.0,61770.0,3943.0,1798.0,65601.0,14748.0,22965.0,5513.0,240087.0,127575.0,12340.0,690.0
30292,181741.0,132608.0,171070.0,8827.0,4026.0,174550.0,33602.0,64497.0,12108.0,1220938.0,541661.0,44775.0,1495.0
30293,106594.0,71500.0,99472.0,8010.0,4546.0,100864.0,24641.0,37543.0,7830.0,678671.0,264436.0,24307.0,1251.0
30294,73920.0,12204.0,69066.0,4489.0,1782.0,73566.0,8359.0,24115.0,4190.0,366848.0,196656.0,18708.0,437.0
30295,232993.0,170812.0,218569.0,12970.0,6423.0,226237.0,49638.0,83672.0,16092.0,1380783.0,793955.0,57540.0,2015.0
30296,48003.0,4743.0,44877.0,2343.0,1086.0,47811.0,10368.0,16049.0,4119.0,267281.0,84016.0,9333.0,312.0
30297,46057.0,14229.0,41770.0,9537.0,5365.0,45535.0,13092.0,14897.0,4244.0,249908.0,128580.0,7382.0,210.0
30303,67337.0,30829.0,63766.0,2688.0,730.0,58346.0,18935.0,26138.0,6133.0,533731.0,96864.0,8975.0,233.0
30305,47801.0,40301.0,45253.0,1034.0,287.0,47484.0,2401.0,23064.0,600.0,806839.0,0.0,13859.0,396.0
30306,158262.0,116470.0,148392.0,7470.0,2444.0,155618.0,33686.0,64528.0,9897.0,1557452.0,276505.0,37400.0,997.0
30307,115315.0,76612.0,107795.0,4702.0,1583.0,108574.0,24039.0,44695.0,7873.0,1186377.0,301046.0,23436.0,684.0
30308,78547.0,49541.0,74186.0,12277.0,5509.0,70577.0,17423.0,31357.0,5348.0,614576.0,111581.0,12359.0,237.0
30309,163291.0,113770.0,153166.0,26207.0,13043.0,158989.0,33780.0,67952.0,9362.0,1240256.0,279106.0,33285.0,900.0
30310,70673.0,8829.0,65611.0,2030.0,903.0,67745.0,24035.0,24865.0,9063.0,570643.0,232474.0,8564.0,309.0
30311,58262.0,1738.0,54023.0,1951.0,1155.0,57882.0,22068.0,20933.0,8088.0,277055.0,32957.0,7970.0,194.0
30312,79210.0,38027.0,74241.0,3521.0,1112.0,74412.0,19466.0,33922.0,6589.0,878453.0,83997.0,13742.0,429.0
30313,52719.0,27701.0,50413.0,5641.0,2332.0,38704.0,11612.0,14939.0,2718.0,331242.0,107822.0,5405.0,106.0
30314,60645.0,11768.0,57046.0,2112.0,882.0,52814.0,17816.0,21144.0,6402.0,557323.0,169103.0,6569.0,266.0
30315,67615.0,15709.0,61806.0,3324.0,1441.0,62459.0,23730.0,24067.0,7623.0,547039.0,180107.0,9240.0,595.0
30316,67960.0,27294.0,62922.0,3198.0,1052.0,66181.0,12328.0,26640.0,4690.0,589457.0,179610.0,15859.0,570.0
30317,63395.0,33375.0,58396.0,1723.0,298.0,62133.0,12256.0,25436.0,4836.0,652543.0,182407.0,14322.0,352.0
30318,165440.0,91193.0,155786.0,11349.0,4882.0,150408.0,35558.0,62598.0,11106.0,1219811.0,248608.0,29807.0,867.0
30319,76865.0,57409.0,70597.0,9904.0,5926.0,75593.0,8529.0,33126.0,1488.0,881025.0,48716.0,17734.0,450.0
30322,5952.0,2921.0,5943.0,193.0,5.0,1435.0,441.0,851.0,0.0,3420.0,0.0,165.0,7.0
30324,91571.0,63166.0,86063.0,5958.0,2599.0,89678.0,17607.0,40289.0,4659.0,898405.0,157732.0,20031.0,544.0
30326,22057.0,16998.0,20912.0,1358.0,445.0,21931.0,1200.0,11172.0,215.0,250791.0,25809.0,5975.0,230.0
30327,41662.0,33877.0,39662.0,3391.0,1745.0,41431.0,3566.0,16866.0,910.0,686062.0,0.0,11360.0,245.0
30328,75562.0,45049.0,70221.0,5022.0,1569.0,73885.0,8050.0,30550.0,1847.0,632524.0,152087.0,15687.0,391.0
30329,56853.0,35244.0,52326.0,12925.0,8568.0,51891.0,11336.0,22136.0,1363.0,482027.0,105894.0,7908.0,108.0
30331,119629.0,20781.0,111328.0,3264.0,1089.0,119066.0,23186.0,42634.0,8708.0,604627.0,168533.0,23906.0,481.0
30332,49915.0,33128.0,47713.0,5138.0,2301.0,40356.0,10358.0,15853.0,2973.0,232932.0,71293.0,7075.0,155.0
30334,2212.0,736.0,2192.0,56.0,16.0,1769.0,935.0,631.0,48.0,31793.0,0.0,230.0,13.0
30336,15552.0,331.0,14689.0,297.0,27.0,15356.0,2505.0,5632.0,876.0,84145.0,44483.0,3225.0,35.0
30337,60634.0,17101.0,55109.0,2287.0,745.0,60223.0,17393.0,23375.0,5742.0,355841.0,102857.0,8715.0,374.0
30338,65690.0,43637.0,60809.0,6266.0,3161.0,65606.0,5951.0,27186.0,796.0,715247.0,38194.0,13143.0,222.0
30339,56000.0,31797.0,52396.0,3615.0,1176.0,55776.0,5106.0,27001.0,1260.0,573945.0,69813.0,10378.0,227.0
30340,56214.0,31513.0,51558.0,17175.0,9824.0,55803.0,11129.0,20096.0,2524.0,360591.0,122700.0,8696.0,186.0
30341,79887.0,52774.0,73714.0,14329.0,9788.0,79222.0,13974.0,31342.0,2847.0,618150.0,95971.0,16754.0,325.0
30342,45174.0,35628.0,42398.0,5946.0,3151.0,44824.0,4229.0,19287.0,892.0,543513.0,0.0,10618.0,276.0
30344,91775.0,24766.0,84594.0,6495.0,2497.0,85673.0,28617.0,34375.0,9098.0,577865.0,161478.0,11811.0,441.0
30345,36915.0,25503.0,33946.0,5366.0,3231.0,36769.0,6197.0,14926.0,976.0,434462.0,0.0,8712.0,145.0
30346,14191.0,7726.0,12853.0,579.0,340.0,14191.0,1023.0,6567.0,34.0,138101.0,23750.0,1467.0,59.0
30349,193611.0,39415.0,179300.0,8272.0,3510.0,191857.0,35652.0,67823.0,13782.0,929771.0,444675.0,37804.0,1354.0
30350,85961.0,51426.0,80233.0,4478.0,1525.0,85524.0,8902.0,35780.0,1999.0,883112.0,138400.0,17127.0,284.0
30354,49304.0,12616.0,44874.0,4279.0,1807.0,44410.0,14982.0,16715.0,5172.0,275062.0,66688.0,5216.0,329.0
30360,32097.0,18994.0,29265.0,8503.0,4968.0,32029.0,5807.0,11888.0,1400.0,248934.0,102170.0,4739.0,117.0
30363,64242.0,44731.0,60668.0,4217.0,1963.0,59762.0,14146.0,24260.0,4318.0,368796.0,96725.0,12245.0,483.0
30401,397083.0,278234.0,372529.0,23839.0,12074.0,382667.0,91575.0,143513.0,29404.0,2384473.0,1104323.0,93751.0,4652.0
